drama_name,Genres,Tags,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,imdb_rating,imdb_user_count,imdb_description
"Bad Thief, Good Thief","['thriller', 'comedy', 'law', 'romance']","['thief', 'policewoman', 'corruption', 'lawyer supporting character', ""brothers' relationship"", 'country manipulation', 'detective', 'family', 'crime', 'suspense ']",50,13-May-17,5-Nov-17,"['saturday', 'sunday']",['MBC'],75,7.6,1135,3528,1936,15+ - Teens 15 or older,"4,963","['Ji Hyun Woo', 'Seo Hyun', 'Kim Ji Hoon', 'Im Ju Eun', 'Ahn Kil Kang', 'Jung Kyung Soon']",['Viki'],8.2,88,The story centers on thieves who strike against people in high power who try to control Korea.
"Bad Woman, Good Woman",['drama'],"['soap opera', 'infidelity ']",140,1-Jan-07,13-Jul-07,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['MBC'],35,7.6,7,66990,99999,Not Yet Rated,81,"['Lee Jae Ryong', 'Jeon Noh Min', 'Sung Hyun Ah', 'Choi Jin Shil', 'Lee Yoon Mi', 'Yoo Seo Jin']",[],N/A,N/A,N/A
Ballad of Seodong,"['historical', 'romance']","['baekje dynasty', 'silla dynasty', 'king male lead', 'princess female lead', 'historical fiction', 'royalty', 'birth secret ']",55,5-Sep-05,21-Mar-06,"['monday', 'tuesday']",['SBS'],60,7.7,233,65090,6585,Not Yet Rated,894,"['Jo Hyun Jae', 'Lee Bo Young', 'Ryu Jin', 'Kim Young Ho', 'Lee Chang Hoon', 'Gu Hye Seon']",[],N/A,N/A,N/A
Band of Sisters,"['romance', 'drama', 'melodrama']","[""best friends' relationship"", 'female centered plot', 'long lost child', 'soap opera', 'multiple mains', 'infidelity', 'death', 'revenge', 'family', 'friendship ']",68,15-Apr-17,14-Oct-17,['saturday'],['SBS'],65,7.7,509,2938,4166,15+ - Teens 15 or older,"1,817","['Kim Joo Hyun', 'Jang Seo Hee', 'Oh Yoon Ah', 'Kim Da Som', 'Lee Ji Hoon', 'Jo Yoon Woo']","['SBS World', 'Viki']",8.4,28,"Kim Joo Hyun (aka Han Joo Hyun from Modern Farmer), Jang Seo Hee (Obstetrics and Gynecology Doctors) and Oh Yoon Ah (Saimdang, Light's Diary) star in an ensemble drama that proves the bonds of joy and love are stronger than even death. When three women lose their loved ones at the same time, they band together and help each other get through the pain and jointly raise a child. The first ""sister"" is Kang Ha Ri (Kim Joo Hyun), who has a super personality that's probably a bit too bright for her profession. She is a part-timer, who works at a stationary store and nail shop. The second ""sister"" is Min Deul Re (Jang Seo Hee). She was once a popular actress. But the industry is brutal and the rule is simple: for the vast majority of actors and actresses, youth gone equals career gone. Now, she's just a has-been. The third ""sister"" is Kim Eun Hyang (Oh Yoon Ah), who is chic and elegant. She once worked as a secretary at a huge firm. However, now she focuses entirely on raising her daughter. Together, these three focus on helping each other through tough times and face everything life throws their way. Looking for a way to heal, they bring some joy into their life by caring for a young girl together. Joining the cast is also Seol Ki Chan (Lee Ji Hoon from Go Ho's Starry Night), a man who grew up in an orphanage and Yang Dal Hee (Kim Da Som, aka Dasom from SISTAR), a charming and intelligent girl who also seems to lie quite a bit and hates being poor. Can the band of sisters cope with all that is coming their way via sisterhood, or is life a little more difficult than simply ""fighting?"" Also known as ""Unni is Alive"" and ""Sister is Alive,"" Band of Sisters is directed by Choi Hyeong Hun, who fans will remember for his work on Second to Last Love. The drama is written by Kim Sun Ok (Temptation of an Angel), who is reuniting with her Temptation of Wife star Jang Seo Hee. Band of Sisters will air on DramaFever with two episodes every Wednesday starting on April 19, 2017 for a du"
Banjun Drama,"['romance', 'drama']",[''],1," Apr 16, 2006",N/A,N/A,['SBS'],15,6.3,3,99999,99999,Not Yet Rated,18,[],[],N/A,N/A,N/A
Basketball,"['historical', 'romance', 'drama', 'sports']","['forbidden love', 'japanese colonial rule', 'rich woman/poor man', 'famous male lead', 'historical fiction', 'rich female lead', 'basketball', 'melodrama ']",18,21-Oct-13,17-Dec-13,"['monday', 'tuesday']",['tvN'],65,6.8,471,6033,4051,Not Yet Rated,"1,893","['Do Ji Han', 'Jung Dong Hyun', 'Lee Elijah', 'Han Young Soo', 'Jung In Sun', 'HA:TFELT']",[],5.3,29,"Drama series is set within the turbulent period between the Japanese colonial era and the division of Korea into North and South. Kang San is from a poor family. He struggles to get away from poverty. Through the game of basketball, he becomes successful and meets a girl from the upper class. He dreams of their love overcoming the disparity in their social standing.

—MDL"
Be Melodramatic,"['comedy', 'romance', 'life', 'melodrama']","['multiple mains', 'sismance', 'strong female lead', 'multiple couples', 'independent female lead', 'eccentric female lead', 'badass female lead', 'entertainment industry', 'smart female lead', 'boss-employee relationship ']",16,9-Aug-19,28-Sep-19,"['friday', 'saturday']","['jTBC', 'Viki']",65,8.5,8710,344,334,15+ - Teens 15 or older,"25,726","['Chun Woo Hee', 'Jeon Yeo Been', 'Han Ji Eun', 'Ahn Jae Hong', 'Gong Myung', 'Lee Joo Bin']","['Disney+ Hotstar', 'WeTV', 'Apple TV', 'Viki']",N/A,N/A,N/A
Be My Dream Family,"['comedy', 'romance', 'drama', 'family']","['family relationship', 'multiple couples', 'slow burn romance', 'multiple mains', 'marriage', 'twins', 'stay at home dad', 'single mother', 'single father', 'working mom ']",120,29-Mar-21,1-Oct-21,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['KBS1'],30,7.9,361,1733,5364,15+ - Teens 15 or older,"1,247","['Choi Jung Woo', 'Park Joon Geum', 'Wang Ji Hye', 'Ham Eun Jung', 'Joo Ah Reum', 'Ryu Jin']","['KBS World', 'Viki']",N/A,N/A,N/A
Be Positive,"['comedy', 'romance', 'drama']","['miniseries', 'web series', 'actress female lead', 'short length series', 'university', 'student', 'second chance ']",6,31-Oct-16,4-Nov-16,N/A,['Naver TV Cast'],10,7.3,3713,4779,1236,13+ - Teens 13 or older,"8,291","['Doh Kyung Soo', 'Chae Seo Jin', 'David Lee', 'Kim Eui Sung', 'Heo Jun Seok', 'Kim Jong Soo']",[],N/A,N/A,N/A
"Be Strong, Geum-soon!","['comedy', 'romance', 'drama', 'family']","['widow female lead', 'doctor male lead', 'single mother', 'hair dresser', 'soap opera', 'nice male lead', 'rich male lead ']",163,14-Feb-05,30-Sep-05,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['MBC'],30,7.5,367,4035,6167,13+ - Teens 13 or older,"1,002","['Kang Ji Hwan', 'Han Hye Jin', 'Lee Se Eun', 'Park In Hwan', 'Lee Min Ki', 'Kim Seo Hyung']",[],8.2,15,N/A
Beating Again,"['business', 'comedy', 'romance', 'drama']","['eccentric male lead', 'male chases female first', 'hardworking female lead', 'smart female lead', 'orphan male lead', 'strong female lead', 'mean male lead', 'hot-tempered male lead', 'smart male lead', 'rich male lead ']",16,3-Apr-15,23-May-15,"['friday', 'saturday']",['jTBC'],60,8.2,15247,982,233,15+ - Teens 15 or older,"32,870","['Jung Kyung Ho', 'Kim So Yeon', 'Yoon Hyun Min', 'Lee Si Eon', 'Jo Eun Ji', 'Gong Hyun Joo']","['Apple TV', 'Viki', 'WeTV']",N/A,N/A,N/A
Beating Heart,"['romance', 'life', 'drama']",['omnibus '],12,2-Apr-05,8-May-05,"['saturday', 'sunday']",['MBC'],70,7.2,55,72672,12699,15+ - Teens 15 or older,261,"['Bae Jong Ok', 'Kim Chang Wan', 'Bae Doo Na', 'Go Ah Sung', 'Kim Dong Wan', 'Shin Sung Woo']",[],8.1,24,"Beating Heart (aka Six Love Stories) is a 12 episode Korean TV drama that revolves around the life of a somewhat ordinary modern family. Broken down into 6 two part episodes (each helmed by a different writer and director), this series weaves together the individual lives and loves of each of the family members into a coherent and effective story.

—Anonymous"
Beautiful Days,"['romance', 'drama', 'family']","['brother-sister relationship', 'shy female lead', 'secondary couple', 'bickering couple', 'playboy male lead', 'older man/younger woman', 'opposites attract', '1970s', 'mother-daughter relationship', 'father-son relationship ']",149,12-Nov-07,6-Jun-08,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['KBS1'],35,8.1,20,61282,99999,15+ - Teens 15 or older,132,"['Jeon Ik Ryung', 'Park Gri Na', 'Choi Kyu Hwan', 'Choi Jin Hyuk', 'Choi Won Young', 'Song Ok Sook']",[],8,93,"Sun-jae's father and Sung-chun are like brothers. Sun-jae's father was murdered by Sung-chun in 1975 before Sun-jae was born. Sung-chun's involvement in the murder was covered up. In 1985 immediately after Sung-chun's wife dies, Sung-chun has Sun-jae and his mother move in with him and his children (Min-chul and Minji). Sung-chun tells everyone Sun-jae is his real son, but in actuality he is not. Min-chul and Minji hate their father, Sun-jae and Sun-jae's mother. Sun-jae meets Yonsoo and Sena while visiting Grace Home (an orphanage). Yonsoo is touched by Sun-jae's kindness. Yonsoo accidentally burns Sena with hot water and is guilt-ridden. In 1995, Yonsoo leaves Sena at the orphanage to look for a job and earn money so that Sena can join her later. She promises to meet Sena at the Seoul Tower on Christmas Day.

—Michael D."
Beautiful Gong Shim,"['comedy', 'romance', 'drama']","['sibling rivalry', 'love triangle', 'nice male lead', 'long lost child', 'male chases female first', 'love square', 'poor female lead', 'smart male lead', 'sassy female lead', 'poor male lead ']",20,14-May-16,17-Jul-16,"['saturday', 'sunday']",['SBS'],60,7.8,14171,2408,284,13+ - Teens 13 or older,"28,603","['Namkoong Min', 'Bang Min Ah', 'Ohn Joo Wan', 'Seo Hyo Rim', 'Oh Hyun Kyung', 'Woo Hyun']",['Viki'],7.4,922,"This drama is about the Love story of two sisters and two men. The older sister has everything, including a beautiful appearance, and the younger sister only has a warm heart. One of the men lives on a rooftop apartment and the other man comes from a wealthy family."
"Beautiful Love, Wonderful Life","['comedy', 'romance', 'drama', 'melodrama']","['family relationship', 'hateful mother-in-law', 'multiple mains', 'mother-daughter relationship', 'marriage of convenience', 'multiple couples', 'time skip', 'evil mother-in-law', 'clingy male lead', 'unrequited love ']",100,28-Sep-19,22-Mar-20,"['saturday', 'sunday']",['KBS2'],40,7.8,1983,2364,1435,13+ - Teens 13 or older,"7,052","['Seol In Ah', 'Kim Jae Young', 'Jo Yoon Hee', 'Yoon Park', 'Oh Min Suk', 'Jo Woo Ri']","['KBS World', 'Viki']",N/A,N/A,N/A
Beautiful World,"['thriller', 'mystery', 'life', 'melodrama']","['school bullying', 'coma', 'tearjerker', 'student', 'psychopath', 'high school', 'investigation', 'suspense', 'strong female lead', 'violence ']",16,5-Apr-19,25-May-19,"['friday', 'saturday']","['jTBC', 'Viki']",60,8.5,2764,282,1153,15+ - Teens 15 or older,"8,857","['Park Hee Soon ', 'Choo Ja Hyun', 'Oh Man Suk', 'Cho Yeo Jung', 'Nam  Da Reum ', 'Kim Hwan Hee']","['Disney+ Hotstar', 'Viki']",8.2,141,"""Beautiful World,"" tells of an incident of school violence which leaves a young boy on the precipice of life and death as his family seeks for justice in his stead."
Because This Is My First Life,"['comedy', 'romance', 'life', 'drama']","['contract relationship', 'marriage of convenience', 'eccentric male lead', 'multiple couples', 'cohabitation', 'nerdy male lead', 'sismance', 'calm male lead', 'cat', 'multiple mains ']",16,9-Oct-17,28-Nov-17,"['monday', 'tuesday']",['tvN'],70,8.5,46196,350,32,15+ - Teens 15 or older,"83,300","['Jung So Min', 'Lee Min Ki', 'Esom', 'Park Byung Eun', 'Kim Ga Eun', 'Kim Min Seok']","['Apple TV', 'Viki', 'WeTV', 'Netflix']",8.1,"4,762","Ji Ho is a single woman. She's a writing assistant of dramas. She's a strong and determined woman. Unfortunately, she has to leave her house and seeks other place to live. Her friends help her to find a roommate. That roommate is Se Hee."
Becky's Back,"['comedy', 'romance', 'drama', 'family']","['miniseries', 'leave home', 'single mother', 'childhood sweethearts', 'long-lost father', 'return to hometown', 'teenage pregnancy', 'martial arts ']",4,6-Jun-16,14-Jun-16,"['monday', 'tuesday']",['KBS2'],57,7.7,1055,2994,3397,Not Yet Rated,"2,467","['Kang Ye Won', 'Jin  Ji Hee', 'Kim Sung Oh', 'Choi Dae Chul', 'In Gyo Jin', 'Choi Phillip']",['Viki'],N/A,N/A,N/A
Becoming Witch,"['mystery', 'comedy']","['female centered plot', 'married female lead', 'housewife female lead', 'married life', 'extramarital affair', 'rich family', 'black comedy', 'infidelity', 'divorce', 'revenge ']",12,25-Jun-22,10-Sep-22,['saturday'],['TV Chosun'],70,7.4,94,70173,4705,15+ - Teens 15 or older,"1,508","['Lee Yoo Ri', 'Lee Min Young', 'Yoon So Yi', 'Jung Sang Hoon', 'Kim Young Jae', 'Ryu Yeon Seok']",['Netflix'],6.4,18,Three friends from different backgrounds each encounter enemies they'd like to kill.
Behind the White Tower,"['business', 'drama', 'medical', 'political']","['adapted from a novel', 'hospital setting', 'surgeon male lead', 'doctor male lead ']",20,6-Jan-07,11-Mar-07,"['saturday', 'sunday']",['MBC'],63,7.8,158,64254,6881,Not Yet Rated,832,"['Kim Myung Min', 'Lee Sun Kyun', 'Lee Jung Gil', 'Kim Chang Wan', 'Byun Hee Bong', 'Song Sun Mi']",['Viki'],8,12,"What does it take to climb the ivory tower of success? Jang Joon Hyuk (Kim Myung Min) is brilliant and ambitious and a rising star as an assistant professor at the prestigious Myeongin University Hospital's surgery department. Although everyone acknowledges Joon Hyuk's unparalleled medical skills, his cold personality doesn't win him many friends or supporters within the hospital."
Bel Ami,"['comedy', 'romance', 'drama', 'family']","['sassy female lead', 'eccentric female lead', 'beauty', 'female chases male first', 'unrequited love', 'love triangle', 'arrogant male lead', 'adapted from a manhwa ']",16,20-Nov-13,9-Jan-14,"['wednesday', 'thursday']",['KBS2'],60,6.7,8894,6168,500,Not Yet Rated,"19,068","['Jang Geun Suk', 'IU', 'Han Chae Young', 'Lee Jang Woo', 'Jei', 'Lee Mi Young']",['Viki'],N/A,N/A,N/A
Best Chicken,"['food', 'business', 'comedy', 'romance']","[""best friends' relationship"", 'restaurant setting', 'restaurateur male lead', 'webtoon artist male lead', ""brothers' relationship"", 'chasing a dream', 'absent father', 'grandpa-granddaughter relationship', 'secret crush', 'nice male lead ']",12,2-Jan-19,7-Feb-19,"['wednesday', 'thursday']","['DramaX', 'MBN', 'Viki']",65,7.3,1443,4812,2403,15+ - Teens 15 or older,"3,870","['Park Sun Ho', 'Kim So Hye', 'Joo Woo Jae', 'Lee Seung Hyub', 'Myung Gye Nam', 'Kim Seo Ra']",['Viki'],6.5,40,"A man works for a big company although his dream is to run a chicken restaurant. A woman who lives at a bathhouse that her late grandfather left behind, only leaves her home when she absolutely has to. She wants to become a webtoon writer. These two meet and grow with each other."
Beyond Evil,"['thriller', 'mystery', 'psychological', 'drama']","['determined male lead', 'investigation', 'suspense', 'murder', 'trauma', 'psychological manipulation', 'smart male lead', 'death', 'corruption', 'mother-son relationship ']",16,19-Feb-21,10-Apr-21,"['friday', 'saturday']",['jTBC'],65,8.8,15135,86,191,15+ - Teens 15 or older,"36,839","['Shin Ha Kyun', 'Yeo Jin Goo', 'Choi Dae Hoon', 'Kim Shin Rok', 'Choi Sung Eun', 'Choi Jin Ho']","['Disney+ Hotstar', 'WeTV', 'Netflix', 'Viki']",8.1,"3,137","The story of two fearless men who are willing to go through extreme lengths in their pursuit of a returning serial killer. To uncover the murderer's identity, the two are forced to look deeper than what the evidence seems to suggest."
Beyond the Clouds,"['thriller', 'romance', 'crime', 'drama']","['wrongfully accused', 'forbidden love', 'revenge', 'ex-convict', 'rich female lead', 'nice female lead', 'poor male lead', 'swindler male lead', 'secretary supporting character', 'melodrama ']",16,17-Feb-14,8-Apr-14,"['monday', 'tuesday']",['KBS2'],60,7.6,1759,3334,1953,15+ - Teens 15 or older,"4,923","['Yoon Kye Sang', 'Han Ji Hye', 'Jo Jin Woong', 'Kim Yoo Ri', 'Lee Jae Won', 'Kim Yoon Sung']",[],N/A,N/A,N/A
Big,"['comedy', 'romance', 'youth', 'fantasy']","['body swap', 'student-teacher relationship', 'amnesia', 'older woman/younger man', 'marriage', 'love triangle', 'family', 'family secret', 'rich male lead', 'orphan male lead ']",16,4-Jun-12,24-Jul-12,"['monday', 'tuesday']",['KBS2'],65,7,16490,5699,248,15+ - Teens 15 or older,"31,727","['Gong Yoo', 'Lee Min Jung', 'Shin  Won Ho', 'Bae Suzy', 'Shin Ji Soo', 'Yoon Hae Young']",['Viki'],N/A,N/A,N/A
Big Issue,"['thriller', 'mystery', 'romance', 'drama']","['paparazzi', 'badass female lead', 'photography', 'strong female lead', 'investigation', 'boss-employee relationship', 'ex-spouse relationship', 'prosecutor supporting character', 'photographer', 'cold female lead ']",32,6-Mar-19,2-May-19,"['wednesday', 'thursday']",['SBS'],35,7.9,1242,1933,2260,15+ - Teens 15 or older,"4,188","['Han Ye Seul', 'Joo Jin Mo', 'Shin So Yool', 'Kim Hee Won', 'Park Seon Im', 'Kim Bit Na Ri']","['Apple TV', 'Viki']",7.6,67,A disgraced paparazzo is forced to work for a ruthless scandal sheet in order to get a heart transplant for his daughter. Joo Jin mo is an excellent actor.
Big Man,"['thriller', 'business', 'drama', 'melodrama']","['cold female lead', 'secondary couple', 'naive male lead', 'orphan male lead', 'power struggle', 'deception', 'betrayal', 'strong female lead', 'rags to riches', 'revenge ']",16,28-Apr-14,17-Jun-14,"['monday', 'tuesday']",['KBS2'],60,7.3,2027,5041,1748,Not Yet Rated,"5,558","['Kang Ji Hwan', 'Lee Da Hee', 'Choi Daniel', 'Jung So Min', 'Han Sang Jin', 'Uhm Hyo Sub']",['KBS World'],7.3,91,"Kim Ji-Hyeok (Kang Ji-Hwan) doesn't have parents and goes through a tough life. He then meets Dal-Sook who runs a small restaurant at a traditional market. Kim Ji-Hyeok follows her like his mother and settles down at the traditional market. He works hard to open up his own store within the traditional market. Suddenly, Kim Ji-Hyeok becomes a hidden son from a family that owns Korea's top company Hyunsung. He realizes though that there are impure intentions. Since that moment, Kim Ji-Hyeok takes revenge upon the people at the Hyunsung company. He becomes romantically involved with a woman named So Mi-Ra (Lee Da-Hee) who he meets at the most important time in his life."
Big Mouth,"['thriller', 'mystery', 'law', 'drama']","['lawyer male lead', 'death', 'suspense', 'murder', 'brave female lead', 'investigation', 'assault', 'hardship', 'workplace abuse', 'greed ']",16,29-Jul-22,17-Sep-22,"['friday', 'saturday']",['MBC'],71,8.7,2059,102,487,15+ - Teens 15 or older,"19,345","['Lee Jong Suk', 'Im Yoon Ah', 'Kim Joo Heon', 'Kwak Dong Yeon', 'Yang Kyung Won', 'Ok Ja Yeon']",['Wavve'],8.3,550,Thriller about an unsuccessful lawyer who gets involved in a murder case and is somehow fingered as genius swindler Big Mouse.
"Billie Jean, Look at Me","['comedy', 'romance']",[''],26,26-Dec-06,6-Feb-07,"['monday', 'tuesday']",['MBC'],64,7,40,75714,99999,Not Yet Rated,230,"['Lee Ji Hoon', 'Park Hee Bon', 'Park Tam Hee', 'Kim  Il Woo', 'Kang In']",[],N/A,N/A,N/A
Birdie Buddy,"['romance', 'sports']","['successful female lead', 'hardworking female lead', 'golf', 'betrayal', 'pre-produced', 'adapted from a manhwa', 'love triangle ']",24,8-Aug-11,25-Oct-11,"['monday', 'tuesday']",['tvN'],45,6.7,1098,6135,3476,Not Yet Rated,"2,387","['Uee', 'Lee Da Hee', 'Lee Yong Woo', 'Hwang Eun Jung', 'Yoon Gi Won', 'Park Sung Woong']",['AsianCrush'],N/A,N/A,N/A
Birth of a Beauty,"['comedy', 'romance', 'drama', 'melodrama']","['makeover', 'plastic surgery', 'rich male lead', 'transformation', 'revenge', 'cohabitation', 'food', 'hidden identity', 'misunderstanding', 'amnesia ']",21,1-Nov-14,11-Jan-15,"['saturday', 'sunday']",['SBS'],60,7.5,13836,3944,277,15+ - Teens 15 or older,"29,329","['Joo Sang Wook', 'Han Ye Seul', 'Jung Gyu Woon', 'Wang Ji Hye', 'Han Sang Jin', 'Ha Jae Sook']","['SBS World', 'Viki', 'Netflix']",7,945,"Overweight, kind-hearted Sa Geum-ran (Ha Jae-sook) married into a well-to-do family, but her husband Lee Kang-joon (Jung Gyu-woon) has spent the past seven years in the United States for his business, and she lives with his mother and sisters who treat her badly. Geum-ran learns that Kang-joon has been having an affair with sophisticated broadcast announcer Gyo Chae-yeon (Wang Ji-hye), and he asks for a divorce. When she sees her in-laws welcoming Chae-yeon with open arms, the distraught Geum-ran threatens her husband, who follows her and causes her to drive her car off a cliff. Everyone assumes that Geum-ran committed suicide and attends her funeral, not knowing that she's still alive. To get revenge against those who've wronged and betrayed her, Geum-ran begs Han Tae-hee (Joo Sang-wook), whom she thought was the plastic surgeon of extreme-makeover television show Change, to transform her, and he reluctantly agrees because of his own ulterior motives. After weight loss and surgery, Geum-ran emerges from the full-body makeover as a stunningly beautiful woman, and she begins calling herself the new name Sara (Han Ye-seul), albeit retaining her coarse ajumma personality. With Tae-hee as her life coach, they scheme to ruin Kang-joon and Chae-yeon's upcoming wedding in three weeks. But as Sara interacts with Kang-joon in their staged run-ins, old feelings resurface, and she decides that instead of destroying him, she wants her husband back. They adjust their plan accordingly, though Tae-hee soon finds himself falling for Sara."
Birthcare Center,"['comedy', 'life', 'drama', 'melodrama']","['motherhood', 'childbirth', 'strong female lead', 'older woman/younger man', 'sismance', 'black comedy', 'hardworking female lead', 'career woman', 'independent female lead', 'multiple mains ']",8,2-Nov-20,24-Nov-20,"['monday', 'tuesday']",['tvN'],65,8.4,2409,477,1601,15+ - Teens 15 or older,"6,263","['Uhm Ji Won', 'Park Ha Sun', 'Choi Ri', 'Jang Hye Jin', 'Yoon Park', 'Im Hwa Young']","['Viki', 'WeTV']",N/A,N/A,N/A
Bizarre Bunch,"['comedy', 'romance', 'drama']","['multiple mains', 'family secret', 'multiple couples', 'pregnancy', 'family ']",170,26-Sep-05,19-May-06,N/A,['KBS1'],30,7.6,28,65902,99999,15+ - Teens 15 or older,112,"['Kim Ah Joong', 'Jung Joon', 'Go Joo Won', 'Kim Sung Eun', 'Kim Young Ok', 'Kang In Duk']",[],N/A,N/A,N/A
Black,"['thriller', 'mystery', 'supernatural']","['ghost-seeing female lead', 'strong male lead', 'badass male lead', 'ghost', 'murder', 'double identity', 'child abuse', 'flashback to past', 'tough male lead', 'interspecies romance ']",18,14-Oct-17,10-Dec-17,"['saturday', 'sunday']",['OCN'],80,8.1,19056,1206,142,15+ - Teens 15 or older,"45,099","['Song Seung Heon', 'Go Ah Ra', 'Lee El', 'Kim Dong Jun', 'Kim Won Hae', 'Jo Jae Yoon']","['K-DRAMA', 'Netflix']",7.9,"3,933",A man possessed by death. A woman who can see death. The earthly and the afterworld collide dangerously.
Black Dog: Being A Teacher,"['comedy', 'life', 'drama']","['school problems', 'smart female lead', 'teamwork', 'strong female lead', 'hardworking female lead', 'high school', 'student', 'social problems', 'sismance', 'character development ']",16,16-Dec-19,4-Feb-20,"['monday', 'tuesday']",['tvN'],75,8.2,1883,1020,1666,15+ - Teens 15 or older,"6,001","['Seo Hyun Jin', 'Ra Mi Ran', 'Ha Joon', 'Lee Chang Hoon', 'Jung Hae Kyun', 'Jo Yun Hee']","['Viki', 'Netflix']",N/A,N/A,N/A
Black Knight,"['action', 'adventure', 'drama', 'sci-fi']","['future', 'miniseries', 'dystopia', 'post apocalyptic', 'adapted from a webtoon ']",6,2022,?,N/A,['Netflix'],N/A,N/A,N/A,32055,3292,15+ - Teens 15 or older,"2,572","['Kim Woo Bin', 'Esom', 'Song Seung Heon', 'Kang Yoo Seok', 'Kim Eui Sung']",['Netflix'],6.5,432,"Black Knight is a love story between a woman who is waiting for the love of her life and a man who is willing to do anything to protect his love. The story spans over two hundred years. Moon Soo Ho is a businessman with a pure heart, but he never shows his true colors to anyone except for Jung Hae Ra, a travel agent who has never traveled abroad. Soo Ho and Hae Ra grew up like siblings in Hae Ra's house, but they got separated later. They meet each other after they grow up and love approaches them as if it were fate. Will their love survive despite all the faltering events?"
Black Knight: The Man Who Guards Me,"['romance', 'drama', 'fantasy', 'melodrama']","[""childhood friends' relationship"", 'seaside setting', 'predjama castle', 'sworn enemy', 'reincarnated lovers', 'healing', 'immortality', 'special power', 'immortal', 'enemies to lovers ']",20,6-Dec-17,8-Feb-18,"['wednesday', 'thursday']",['KBS2'],65,7.2,4503,5341,854,15+ - Teens 15 or older,"12,141","['Kim Rae Won', 'Shin Se Kyung', 'Seo Ji Hye', 'Jang Mi Hee ', 'Kim Hyun Joon', 'Hwang Jung Min']","['Viki', 'Netflix']",N/A,N/A,N/A
Blade Man,"['comedy', 'romance', 'drama', 'supernatural']","['company president (ceo) male lead', 'anger issues', 'nice female lead', 'overbearing ceo', 'father-son relationship', 'special power', 'boss-employee relationship', 'secretary male lead', 'selfless female lead', 'controlling parent ']",18,10-Sep-14,13-Nov-14,"['wednesday', 'thursday']",['KBS2'],60,7,5883,5749,648,15+ - Teens 15 or older,"15,482","['Lee Dong Wook', 'Shin Se Kyung', 'Kim Gab Soo', 'Han Jung Soo', 'Jung Yoo Geun', 'Shin Seung Hwan']","['KBS World', 'Viki']",6.5,340,"Joo Hong Bin, the CEO of a game company, has got everything. He is capable, rich and even good-looking. However, this perfect guy lacks in one thing. He is so ill-tempered. The worst guy on the planet. One day, this supercilious guy turns into a monster. When it rains, he becomes furious and some blades are coming out from his body. Moreover, Se Dong, a woman with a bright personality and Chang, his first love's son appear making him confused.

—Kdrama"
Blessing of the Sea,"['comedy', 'romance', 'melodrama']","[""childhood friends' relationship"", 'workplace setting', 'pianist male lead', 'cheerful female lead', 'competent male lead', 'based on folk story', 'workplace romance', 'nice female lead', 'tetra-chromatic', 'color blindness ']",121,14-Jan-19,12-Jul-19,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['MBC'],35,7.2,109,73305,7973,15+ - Teens 15 or older,636,"['Lee So Yeon', 'Jae Hee', 'Jo An', 'Kim Hyung Min', 'Ahn Nae Sang', 'Baek Bo Ram']",[],N/A,N/A,N/A
Blind,"['thriller', 'mystery', 'drama']","['hacker supporting character', 'judge male lead', 'team leader supporting character', 'detective fiction', 'detective male lead', 'perfectionist male lead', 'social workers', 'investigation', 'suspense ']",16,N/A,N/A,N/A,"['OCN', 'tvN']",70,N/A,N/A,32174,3726,15+ - Teens 15 or older,"2,162","['Ok Taec Yeon', 'Ha Seok Jin', 'Jung Eun Ji', 'Park Ji Bin', 'Jung Eui Wook', 'Baek Seung Hee']",[],N/A,N/A,N/A
Blood,"['action', 'romance', 'medical', 'supernatural']","['interspecies romance', 'genetic manipulation', 'childhood acquaintance', 'smart female lead', 'orphan male lead', 'smart male lead', 'superhuman strength', 'revenge', 'healing power', 'drama ']",20,16-Feb-15,21-Apr-15,"['monday', 'tuesday']",['KBS2'],65,7.4,19708,4508,148,15+ - Teens 15 or older,"43,830","['Ahn Jae Hyun', 'Gu Hye Seon', 'Ji Jin Hee', 'Jung Hae In', 'Kim Gab Soo', 'Jin Kyung']","['Viki', 'Netflix', 'KBS World']",6.7,838,Set within a hospital. A vampire works as a doctor. A battle between good and evil as well as immortal love takes place.
Blooded Palace: The War of Flowers,"['historical', 'romance', 'drama', 'political']","['dark fiction', 'femme fatale', 'historical fiction', 'qing dynasty', 'antihero', 'harem', 'joseon dynasty ']",50,23-Mar-13,8-Sep-13,"['saturday', 'sunday']",['jTBC'],61,7.4,267,68822,5350,15+ - Teens 15 or older,"1,251","['Kim Hyun Joo', 'Jung Sung Woon', 'Lee Deok Hwa', 'Uhm Yoo Shin', 'Lee Seo Yun', 'Lee Moon Jung']",[],N/A,N/A,N/A
