kdrama_name,imdb_rating,imdb_users,imdb_description
Summer Scent,6.9,213,Three year's previously Min Woo lost his first love in a tragic accident. As he struggles on with life he meets Hae Won who reminds him of his lost love but is racked with emotion and confusion as his feelings for these two women become intertwined. Unbeknownst to the florist Hae Won she has received her heart transplant and a second chance at life from Min Woo's first love. When the two cross paths Hae Won notices her unusual heart beat. Nobody knew it was her heart that remembered and beats strong for her lost love Min Woo. As Hae Won starts falling in love with Min Woo soon the conflict erupts between the lovely florist and her fiancé Jung Jae.
Enemies from the Past,6.6,8,N/A
Entertainer,6.6,338,"Shin Suk Ho (Ji Sung) was once a hotshot director at South Korea's biggest entertainment company, but as the CEO of a small agency, he discovers there's more to the business than glamour. Forced to wear different hats, Suk Ho juggles everything from talent recruitment to managing fledgling trainees-eventually discovering his true calling as a band manager."
Entourage,5.4,149,South-Korean version of 'Entourage' (2004). This is the story of a handsomely famous celebrity who depends on his three friends and agency's boss who try to help him in his struggles as an actor and a man.
Eve,7.7,610,A 2 trillion won divorce case that shocked the country and a woman who seeks revenge on the richest people of Korea.
Exo Next Door,7,"1,397",It is about an ordinary girl named Ji Yeon hee who finds out that her neighbors are the lame dudes of EXO.
Extracurricular,7.6,"6,588",A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.
Extraordinary Attorney Woo,9.1,"4,132","About an autistic 27-year-old lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school."
Extraordinary You,7.8,"3,197",The story of a girl who finds out that she is in fact a supporting character in a web comic and decides to change her fate.
Familiar Wife,7.6,"1,036",A married couple suddenly finds themselves living entirely different lives after their fates magically change through an unexpected incident.
Family's Honor,8.6,27,"Dan-ah is participating in a seminar in Jeju island. Tae-young is caught cheating with another woman by his wife at a motel in the outskirts of Seoul, and as he leaves he sees his sister-in-law come out of the same motel with another man. After that incident, his brother Soo-young begins seeing Jin-ah, and he meets Mal-soon.President Ha Seok-ho is widowed and he finds out that his girlfriend, Lee Young-in, is pregnant. Then his grandfather suddenly passes away.Lee Cheon-gab and his son Lee Kang-seok hear about the death of Chairman Ha Man-ki and they think it would be a good idea to attend the funeral as a way to establish themselves in high society and break away from their ""nouveau riche"" status. Dan-ah meets Lee Kang-seok once again. During the funeral, Dan-ah has to handle the disturbing news that her father's girlfriend is pregnant and that her brother's wife is having an affair while grieving for her grandfather. After the funeral is over, the wives of her two brothers ask for a divorce and leave them. Now Dan-ah is the only lady in the household and is in charge of preparing the ancestral rites. Hyun-gyu tries to help Dan-ah during these difficult times. Meanwhile, Lee Kang-seok is a thorn in her side as he keeps showing up and creating problems for her. Then, she has to grapple with the news that her father wants to marry his girlfriend, Young-in, because she is pregnant. Every member in her family enters new romantic relationships.

—me"
Fantastic,7.2,136,"Diagnosed with terminal cancer, a thriving scriptwriter decides to live her life as never before, even enjoying the attention of two different men."
Fashion King,5.8,242,"A third-rate designer Kang Young-gul who makes and sells counterfeits in Dongdaemun, previously unable to put his formidable talent to proper use, at a certain special opportunity becomes a big shot in the fashion industry. Meanwhile, Lee Ga-young, after losing her parents who had been successful designers in Dongdaemun and even losing their shop, having spent her life in a small room only sewing, tries her utmost to come out of a life of poverty. Two young people struggle to come out of difficult circumstances and on the other hand, the heir of the country's top fashion industry conglomerate Jung Jae-hyuk won't stop at any means to keep his position. In the end, what will become of the future of the three who try to succeed as world-class designers?"
"Father, I'll Take Care of You",8,46,"After their 4 children become independent, an old couple decide to live for themselves. One day, their 4 children come back to them."
Feast of the Gods,7.4,38,"Set within the backdrop of a traditional royal cuisine restaurant named Arirang, two women grow as chefs through competitions with each other, either in love or life."
Fight for My Way,8.1,"6,249","Ko Dong Man, a high school Taekwondo champion who is now pursuing a career in the UFC, and Choi Ae Ra, a dynamic girl whose desire is to become a famous announcer, have been best friends since childhood. Now, they have to confront the change in their feelings towards each other as well as overcome difficulties to make their dreams come true."
Find Me in Your Memory,7.4,824,A love story between a man who remembers every second of his life and a woman who forgot her painful past.
First Love,7.8,52,"This early drama focuses on the lives of two brothers, Chan Hyuk and Chan Woo, and their relationship a wealthy girl named Hyo Kyung from childhood through adulthood. Chan Hyuk and Chan Woo move with their family from Seoul to the countryside where their widowed father finds work as a painter for the local movie theater. The two brothers eventually befriend the movie theater owner's daughter, Hyo Kyung. Although both brothers develop feelings for her, Hyo Kyung falls for the artistic Chan Hyuk. Their relationship is severely tested by multiple hardships over the course of many years including the extreme opposition of her father and uncle."
First Love Again,8,11,"8 years ago, Lee Ha-Jin (Myung Se-Bin) fell in love with Cha Do-Yoon (Kim Seung-Su), but they broke up.Now, Lee Ha-Jin is enthusiastic about cooking. She meets Cha Do-Yoon again. After Cha Do-Yoon dumped Ha-Jin, he has been full of vengeance and hatred toward her.

—Mahuzin Lafeer"
Five Fingers,7.2,137,"Young people struggling to overcome their tragic pasts and obstacles, fighting to reach for the stars and see their dreams come true."
Flower Crew: Joseon Marriage Agency,6.8,230,"A king makes a request to Joseon's best dating agency ""Flower Crew"" to protect his first love. Upon his request, the matchmakers at the agency risk their own lives to transform the lowly woman Gae Ddong into the most noble woman."
Flower of Evil,8.7,"7,328","""Flower of Evil"" is a suspense melodrama about a man who hides his cruel past and changes his identity, while his detective wife tracks down his past."
"From Now On, Showtime!",7.4,316,"Cha Cha Woong is a popular TV magician with a taste for the spectacular. His path crosses with that of Go Seul Hae, a young and passionate police officer. She convinces him to join the police force in its efforts to catch criminals."
Gangnam Scandal,6.1,13,"Eun So Yoo works as a stylist. She struggles to make enough money to pay for her mother's operation fee. Due to a case, So Yoo gets involved with Choi Seo Joon, he is from a rich family. So Yoo pretends to love him for his money, but she falls truly in love with him. Seo Joon has an in incurable disease. He is more interested in playing around than working and he doesn't believe in true love."
Get Revenge,7.5,68,"A 'wife of a famous broadcaster and freelance entertainer' has been doing well for 12 years. Due to a mistake, her life falls apart overnight However, she learns that there was another reason for her downfall, and so begins her revenge."
Ghost Doctor,7.9,"1,269","Cha Young Min is a genius doctor but arrogant and selfish. One day, he gets involved in an unexpected case; his spirit possesses another doctor's body. These two doctors are complete opposites, with personalities and medical abilities."
Girls' Generation 1979,7.4,84,"Story is set in Daegu, South Korea during the 1970's. Lee Jung-Hee is in the 2nd grade of high school. She has a bright personality and is the second daughter of a family who runs a underwear factory. She and her friends go through adolescence. The series deals with high school students' emotional and social problems ."
Glass Slippers,7.6,74,"This drama is about the lives of Tae Hee and Yun Hee, two sisters whose mother died while giving birth to Yun Hee. Their father, who loves them dearly, married their mother without their paternal grandfather's consent, and deprived of any familial support, the sisters and their father struggle to make ends meet even as their father faces a life-threatening illness. This drama follows Tae Hee and Yun Hee into adulthood as, separated by a cruel twist of fate, the girls come to lead very different lives, oblivious of one another."
Glory Jane,7.3,52,"Young Kwang is a second-string baseball player struggling to support his family. Seo In Woo is his lifelong rival, a first-string player and the son of a wealthy businessman. After both men are injured on the same day, they are rushed to the hospital and meet beautiful, bubbly nurse Yoon Jae In. Connecting over their lifelong struggles with poverty, Young Kwang and Jae In develop a strong connection, but a web of secrets about Jae In's past soon plagues their budding relationship, not to mention that In Woo is also after her heart. Will Jae In be able to find true love despite her complicated past?"
God's Gift: 14 Days,8,532,"Kim Soo Hyun (Lee Bo Young) travels back in time to bring her dead child, Han Sa Byul (Kim Yoo Bin) back to life. Han Ji Hoon (Kim Tae Woo) is her husband, a human rights lawyer who's passionate about his work. Meanwhile, Ki Dong Chan (Cho Seung Woo) is a private investigator who helps her when she goes back in time. Hyun Woo Jin (Jung Gyu Woon) is Kim Soo Hyun's first love, a detective in the violent crimes division.

—krdrama"
Golden Cross,7.2,43,"In this thrilling melodrama, the Golden Cross is a group of the top 0.001% richest and most powerful Koreans who control politics and the economy through conspiracies and stratagems. When Kang Do Yun (Kim Kang Woo) gets involved with one of their schemes, his sister ends up losing her life at the hands of one of its leaders. After his father is framed for the murders, Kang Do Yun vows to bring the corrupt group down, becoming a prosecutor seeking revenge. His plan gets complicated, however, when he falls for the daughter (Lee Si Young) of the very man responsible for the death of his family."
Golden Time,7.9,92,"The one hour you have to save a person's life after a traumatic injury is what emergency physicians call ""golden time."""
Good Casting,7,117,"""Good Casting"" is a comedy drama about an undercover agent selected in the worst-case scenario and a spying mission by Korean superwomen to investigate corruption involving the nation's largest conglomerate's technology leaks."
Good Doctor,8,"1,897",A medical drama about a surgical resident with autistic disorder and savant syndrome.
Good Manager,7.9,"1,049","Chief Kim is an eccentric, flamboyant accountant genius working in the underground and trying to save up enough money to travel abroad until he accidentally gets employed by one of the most famous corporations in Korea. He plans to pull off his biggest heist, taking money from the company while facing the moral dilemmas as he gets closer to his colleagues and starts to get attached to the work life.

—norah almajed (edited by Contributor)"
Goodbye Mr. Black,7.1,210,"When a skilled Navy SEAL demolitions officer is framed as a traitor, he uses a fake marriage to assume a new identity and seek revenge."
Goodbye to Goodbye,7.7,62,"Young Hee is a woman who separated from her husband Sang Jin because he cheated on her. One day, Jung Hyo, a pregnant woman whose boyfriend ask her to abort the child, starts living with Young Hee, her boyfriend's mother. Although they fight often, they also come to understand one another."
Graceful Family,7.6,336,A drama about a rich heir and a good-hearted lawyer investigating the death of the mother of the former.
Graceful Friends,6.5,150,"""Elegant Friends"" is a story that takes place in the wake of a murder case against the backdrop of a town largely inhabited by couples in their 40s."
Gracious Revenge,8.1,15,A drama about a woman who was raised to take revenge for her mother.
Grand Prince,7.5,172,"The story of two princes, one hungry for power and the other longs for love. They enter into a rivalry when they fell in love with the same woman."
Guardian: The Lonely and Great God,8.6,"20,251","In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past."
Gunman in Joseon,7,361,"Based in the time of enlightenment of 19th-century Joseon, This drama tells the story of Joseon's last swordsman named Park Yoon Kang who grabs a gun ditching his sword and grows to become the era's hero. Park Yoon Kang is the illegitimate son of the best swordsman in Joseon. After his father and sister get killed, he trades sword for gun as he embarks on his revenge mission.

—kmccoydrama"
"Gwanggaeto, The Great Conqueror",8.6,104,"Gwanggaeto the Great, is a historical drama based on the life of the nineteenth monarch of Goguryeo, Gwanggaeto the Great."
Haechi,7.6,295,"Set during the Joseon Dynasty period, four people from different walks of life come together to make Prince Lee Geum the King and reform the Saheonbu. The four people are Lee Geum, Yeo Ji, Park Moon Soo and Dal Moon."
Happiness,7.9,"5,236",An apocalyptic thriller that takes place in a time in which infectious diseases have become the new normal.
Happy Ending,7.3,10,N/A
Happy Sisters,7.7,8,"Yoon Ye Eun's husband of 7 years has a profitable business and they move into a new house. Then, she finds out about his affair. Her sister Yoon Sang Eun is in debt and runs a piano institute. She meets someone through a matchmaking agency and considers entering a contract marriage to pay off her debts.

—SBS International"
Happy Together,7.5,33,"Happy Together is a South Korean talk show which first ran on November 8, 2001 on KBS2. It was the most popular show on KBS from 2002-2003, and further continued its success in two more seasons."
He Is Psychometric,7.7,"1,642","A boy who is able to read the secrets of those whose skin comes into contact with him, and a girl who does everything she can to hide her pain. In the drama, the boy and girl will meet and try to fix, heal, grow, and love from the small and big occurrences that happen in their lives."
Healer,8.5,"8,373","An old murder incident involving a group who ran an illegal broadcasting station brings together different people - a mysterious errand guy ""Healer"" who possesses disguise and fighting skills, a reporter from a second-rate tabloid, and a famous journalist. They will have to deal with the cruel conflict of truth versus faith."
Heard It Through the Grapevine,7.9,84,"Choi Yun Hee and Han Jung Ho are a wealthy couple from a prestigious family. Han Jung Ho works at a law firm. He is a powerful man and even becomes involved with the appointment of a government official. Their reputation is suddenly turned upside down because their teenage son, Han In-sang, impregnates his girlfriend from an ordinary family, Seo Bom. Bom determined to endure the humiliation and isolation from the family for the sake of her child's futurewhile the son, Han In Sang, struggles between his love for Seo Bom and his family's high expectation.

—Biraj Kalita"
Heart Surgeons,7.5,54,The series revolves around the thoracic surgery department of a hospital.
Heart to Heart,7.3,174,"Cha Hong Do blushes extremely caused by her social anxiety disorder. She has a crush on Jang Doo Soo for years, but she is unable to even talk to him and runs away if he encounters her. Then she meets Go Yi Seok, an egoistic psychiatrist."
Heartless City,8.1,482,Revolves around several different characters in a world of drugs and murder..
Hell Is Other People,7.8,"4,729",Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors.
Hellbound,6.6,"23,397","People hear predictions on when they will die. When that time comes, a death angel appears in front of them and kills them."
Hello Monster,7.7,"1,479","Briliant criminal psychologist tries to solve murder cases that seem to be linked to one another, and something triggers a memory he himself thought he'd lost forever."
"Hello, Me!",7.3,599,"Miserable and unsuccessful, a woman thinks she's lost all her spark, until one day, her spunky younger self appears in front of her demanding change."
Her Private Life,7.7,"4,091","A romantic comedy about a talented gallery curator named Sung Duk Mi, who is an idol fan-girl underneath her professional veneer. Meanwhile, her boss Ryan becomes a passionate fan-boy of her."
Hero,5,10,N/A
"Hi Bye, Mama!",7.9,"1,664",It's the story of a mother who died and begins a 49-day long project of reincarnation and a husband who has barely begun to live a new life after overcoming the pain of losing his wife.
Hidden Identity,6.6,123,"The heat is on in Investigation 5, an undercover police unit specializing in thwarting violent crimes. Led by Superintendent Jang Moon Won (Park Sung Woong), this team of young and elite officers, including Cha Gun Woo (Kim Bum), Jang Min Joo (Yoon So Yi), and Choi Tae Pyung (Lee Won Jong), assume new identities and infiltrate dangerous crime syndicates. With only their wits and poker faces at their disposal, can the team complete their missions without blowing their covers in hostile territory?"
Hide and Seek,7.1,44,"The drama explores the fate of the heiress to the nation's largest cosmetics conglomerate, and a woman who had to live that life in her stead, as well as the desires and secrets surrounding the two women."
High Class,6.9,127,A mystery suspense drama about the dangerous lies and hypocrisies hidden behind the perfect lives of the women who live in the top 0.1 percent of society.
High Kick!,8.4,398,"Lee Yoon-ho (Jung Il-Woo), a motorcycle mania who engages in many fights at school and is known for his high kick, and Lee Min-ho (Kim Hye-Seong) who enjoys spending time on scale models and web blogs, are brothers born a year apart but attending the same class at school. These two portray completely opposite Korean teenage characters in a comical way. And of course, there's the rest of the family. Their father Jun-ha Lee (Jeong Jun-Ha), a full-time stock investor since being laid-off from work, nevertheless optimistic and reckless; their mother Park Hae Mi (Park Hae-Mi), an oriental medicine doctor and always overly confident; their grandfather Lee Soon Jae (Lee Sun-Jae), who loves money more than anything in the world; their grandmother Nah Mun Hee (Na Moon-Hee), who is always defeated by her daughter-in-law in ongoing status quarrels, are some of them. Their uncle Lee Min-yong (Kim Hye-Seong) is a 27-year-old single dad. After going through a premature marriage and early divorce, he enjoys his life back in the dating scene with his half-single and half-married status, while continuing to encounter emotionally-involved moments with his ex-wife Shin Ji at times. Smooth High Kick. is a situation comedy, which portrays the everyday lives of the main characters colliding with each other in a comical way. However, at a certain point, the surprising mysteries of their seemingly-normal surrounding characters begin to unravel one by one."
High School King of Savvy,7.1,374,"Can a high school boy lead a double life? Lee Min Seok (Seo In Guk) is a rising hockey player at his high school leading an average high school life, complete with a groupie classmate, Jung Yoo Ah (Lee Yeol Eum), who has a crush on him."
High Society,6.8,493,"Jang Yoon-ha is the youngest daughter of a chaebol family. Despite her wealth, she works part-time at a food market and hides her true identity as an heiress because all she truly wants is to find a man who'll love her for herself and not her money. Choi Joon-ki grew up in extreme poverty, and has a huge chip on his shoulder about his poor parents being belittled. Now working as a middle manager for a conglomerate, Joon-ki is smart and talented but also jaded and calculating, believing that love is a luxury only for the wealthy."
Home for Summer,7.1,10,A drama about a couple's marriage being threatened by them falling in love with other people.
Hometown,6.3,196,A mystery evil thriller which finds the truth of a recording tape containing mysterious serial killings and unidentified sounds in a small city.
Hometown Cha-Cha-Cha,8.4,"11,465","A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way."
Hospital Playlist,8.8,"5,211",Hospital Playlist tells the story of five doctors who have been friends since they entered medical school in 1999.
Hospital Ship,6.9,378,"Hospital ship is a romantic drama series with twists and turns at every episode . It's the story about doctors who work in the hospital ship that provides free health facilities to the various remote islands in Korea. The story revolves around Doctor Kwak Hyun who is currently working in the hospital ship and Surgeon Song Eun Jae that is well known for performing various complicated surgeries. The story have love-triangle, complicated surgeries show, family issue and the last few episodes are awesome.

—Somesh Bhardwaj"
Hotel del Luna,8.2,"8,638","When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world."
Hotel King,7,417,"A love story between an heiress who tries to save her father's legacy, the one and only seven-star hotel in the nation and the hotel manager who becomes an enemy to his own father who abandoned him in order to help the heiress."
Hotelier,7.4,181,About a businessman who wants to take over a hotel and destroy the business into pieces. he gets to know the staffs and falls in love with one of them without telling them what is his purpose living so long in this hotel.
How to Buy a Friend,7.2,42,"Rumors surround Don Hyuk, a highly praised high school fighter, after his girlfriend's sudden suicide Plagued by the trauma he is quick to fight if someone even mentions her name, landing him in juvenile detention. After his release, he returns t school where he comes across a poem written by Chan Hong, a particularly average student who ha a knack for writing. Eventually, Don Hyuk discover a clue about his girlfriend's death and approaches Chan Hong to help him investigate, and in exchang he will serve as Chan Hong's personal bodyguard. This contractual relationship entangles them bot in a series of dramatic events as they try to uncover the truth behind the suicide.

—tanishakarmakarslg"
How to Meet a Perfect Neighbor,7.1,9,"Baek Soo Chan has nothing in his hands but he lives a life under the belief that he will become the man any woman who sits next to him wants. However, his belief is questioned when he starts to realize true love. When playboy Baek Soo-Chan he finally meets his match with Jung Yoon-Hee. He goes absolutely crazy. His once blissful life of messing around with women has become something of the past every since Yoon Hee started to make snide remarks as she tries to protect her older sister from being trapped by his playboy ways. Yoo Joon Suk is the heir to his father's very successful company. He is forced to come back and take over his father's company when his father suddenly collapses. Yoon Hee then becomes Joon Suk's assistant and falls for her boss. Will Joon Suk return her feelings and will they be able to be together despite his mother's objections?"
Hur Jun,8.6,70,"The life, struggle and ascension of doctor Hur Jun, an exponential medical figure during his times."
Hush,7.2,94,"A sympathetic and humane office drama based in a newspaper company, about the dilemma between the survival and conscience of reporters."
Hwarang: The Poet Warrior Youth,8,"4,034","Revolves around an elite group of male warrior youth called Hwarang who grow through passion and love in Seorabeol, the capital of the ancient kingdom of Silla."
Hyena,7.7,812,"'Hyena' deals with very competitive, private lawyers who only work for the richest 1% of society."
"I Do, I Do",6.7,191,"Hwang Ji An is the top shoe designer in a major shoe company. She is in her 30s, successful and single. One night, she makes a horrible mistake and sleeps with Park Tae Gang, a good-looking new employee in her company, and she finds out she is pregnant. Ji An's hard-earned career and her stylish lifestyle threatens to implode as a result of her one-night-stand mistake. Will Ji An be forced to give up everything and live with the consequences of her mistake?

—Viki"
I Have a Lover,8.1,138,A woman who lost her memory falls in love with the husband she despised.
I Need Romance,7,285,"As a hotel concierge manager tries to sort out her relationship with her ex, events take an unforeseen turn when the hotel's heir enters the picture."
I Need Romance 2012,7.2,98,"Thirty-something Yeol-mae totters through her messy love life with the help from her best friends, whose romantic lives are no less complicated than hers."
I Need Romance 3,7.4,143,"Shin Joo Yeon is a successful 33-year-old career woman who is jaded and no longer believes in love. That is, until she is reunited with a much younger family friend. Will his love heal her heart and make her believe in true love again?"
I Order You,6.3,50,"Can a heartbroken divorced man learn to love again? Yeo Gook Dae (Jung Yunho) is a talented chef who hides his broken heart from his divorce behind his brash attitude. He runs a homemade dosirak (lunchbox) shop, where he creates delicious meals to take his mind off of his heartache."
I Wanna Hear Your Song,7.1,168,"Hong Yi Young witnessed a murder but she cannot remember anything about what happened. With the help of Jang Yoon, she tries to recover her memories from that day."
I'm Not a Robot,8,"5,316","Kim Min Gyu has wealth and success, but lives an isolated life due to his allergy of people. He then meets and falls in love with a girl who is pretending to be a robot for her ex-boyfriend, a genius robots professor."
"I'm Sorry, I Love You",8.4,"1,198","Mu-Hyuk, a Korean adopted to Australia, is a tough but very attractive street guy. He is shot in the head at his girlfriend's wedding and must wait for his death. He decides to go back to Korea to find his parents. His mother is a famous old actress and her son Choi-Yoon is the most popular pop singer. Mu-Hyuk finds his twin sister Su-Kyung, who is mentally 6-7 years old and abandoned like him. He seeks revenge on his mother but he also falls in love with Eun-Chae, a very close friend of Choi-Yoon. And his struggling against death and revenge, love starts in a sad way.

—Soohy"
Ice Adonis,8,20,Stories and triangles revolving around the revenge of a woman who lost everything.
Idol: The Coup,8,84,"A story about a failed idol group's last journey and their desperate attempts to prevent disbandment. Cotton Candy only needs a one time hit to save their group, but it's not as easy as it sounds. Everything is going wrong for Cotton Candy, but the members can't let go of their friendship and dreams."
If You Wish Upon Me,9.5,94,"Yoon Gyeo Rye lived at an orphanage and spent time in prison. He struggles to have a normal life. He volunteers at a hospice. There, he works with volunteer team leader Kang Tae Shik and nurse Seo Yeon Joo ."
Iljimae,7.9,19,N/A
Imitation,7.5,690,"Based on the webtoon of the same name, it tells the story of the lives of idols in the entertainment industry, centered around the secret romance between a member of a rookie girl group and a member of the top boy group in the industry."
Incarnation of Money,7.8,64,"A tycoon Lee Joong-Man murderd in 1998 by his personal driver Ji Se-Gwang whom having affair with Lee's mistress Eun Bi-Ryung. Lee's wife Park Gi-Soo wrongfully convicted of the murder of Lee. Ji Se-Gwang became a special inspection division manager at the Seoul Central District Prosecutors Office(SCDPO). A professional prosecutor Lee Cha-Don learns his past in relation to the conspiracy for the murder case.

—Young Lee"
Insider,7.5,162,"After going undercover for an investigation, Kim Yo Han experiences a crisis and ends up struggling to try to obtain a hand of cards that will change his fate as he gambles in prison."
Inspiring Generation,7.6,230,"Set in the 1930s in Shanghai, China. Drama series depicts friendships, love and patriotism of young people."
Into the Flames,8.5,12,"The drama recounts the life of steel magnate, Park Tae-Joon, who became the founder and chairman of POSCO, a then-fledgling South Korean steel company that grew into a multinational steel-making conglomerate. The story revolves around Park's tireless effort to build a steel mill amongst the devastation in the aftermath of the Korean War. Rising up from the ashes amidst poverty and despair, this is the story of the Korean people's resolve and a relentless drive towards modernization.

—Anonymous"
Itaewon Class,8.2,"13,123","An ex-con opens a street bar in Itaewon, while also seeking revenge on the family who was responsible for his father's death."
Item,6.4,160,A mystery fantasy drama about a profiler and a prosecutor who uncover a conspiracy and secrets surrounding objects with special powers.
It's My Life,7,6,"Yang Nam Jin is an average guy from a small fish town. While running an employment agency, he always volunteers to help the community. He was raised by a single mother. But, as it turns out, he is from a rich family. Now Nam Jin is a grandson of the chairman and a potential heir for a fashion conglomerate. Aiming to the top, he is ready to compete with Grandfather's other grandson, Choi Shi Woo. But the company isn't the only thing they want to take from one another. Enters Han Seung Joo, a strong-willed woman who wants to make her own name as a fashion designer. With Jin Ah, Nam Jin's first love who is desperate for success, they have an unpredictable love square. Will there be happiness and love at the end of their journey?"
It's Okay to Not Be Okay,8.6,"22,805",An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.
"It's Okay, That's Love",8.3,"3,977",A love story between a psychiatrist named Ji Hae Soo and an author who had schizophrenia named Jang Jae Yeol.
"Jang Ok-jung, Living by Love",7.6,247,"Life Of Jang Ok-Jung, Later Known As Jang Hee-bin, one of the most famous Concubines of The Joseon Dynasty who was known for her hunger for power."
Jeong Do-jeon,8.4,49,"Set between late Goryeo Dynasty and early Joseon Dynasty period. Jung Do-Jeon plans for the new country of ""Joseon"" and new culture as an influential advisor to King Taejo. Jung Do-Jeon resistance among those that want to keep Goryeo."
Jinxed at First,6.7,144,"Seven years ago, Soo Gwang had a perfectly normal, happy life but all that changed when he happened upon Seul Bi, a woman who, despite their brief meeting, changed his life forever. Since that day, every time he dreams of Seul Bi, something terrible happens to him. Though Soo Gwang has no idea why this woman has had such a strange effect on his fortune, Seul Bi does. Having inherited a special ability from her mother, both women can see a person's future through a single touch. Using this gift to their advantage, a wealthy family has kept Seul Bi and her mother captive for years. When fate allows Seul Bi a rare opportunity to escape, she takes it and runs straight to Soo Gwang. Standing face-to-face with the woman who started his streak of bad luck all those years ago, Soo Gwang isn't sure whether he should help Seul Bi or run from her. With one desperate for freedom and the other desperate to change their fate, will Soo Gwang and Seul Bi become each other's greatest ally or worst enemy?

—mikkiparker"
Jirisan,7.4,950,"Set against the backdrop of towering views of Mount Jiri, it depicts the story of rangers and other employees of the Jirisan National Park who climb through the mysterious and unexplored regions of the mountain."
Joseon Exorcist,7.1,122,"The series follows the story of King Taejong and his two sons, Prince Chungnyung and Prince Yangnyeong, how they fight the evil spirits who came alive and must be exorcised to save Joseon."
Jugglers,7.1,280,A woman has lived her life with a passive attitude. She has a spirit of devotion and obedience. A man refuses interests of other people and developing relationships. The woman and man meet as secretary and boss.
Just Dance,7.2,45,"Drama will tell the story of girls in Geoje Girl's Vocational High School, who dream different dreams while preparing to get a job in a shipyard where restructuring recently started. Although their grades are low, their efforts in trying be better dancers are unlimited."
Justice,7.8,83,"Lee Tae Kyung is a star lawyer with the best win rate. He is able to win cases by using his sharp logic and intelligent speeches. He amasses power and wealth by dealing with clients who are part of the elite class. His cases are usually referred from Song Woo Yong who is the owner of a construction company. Lee Tae Kyung gets these high class criminals acquitted or at minimum receive probation. He first became a lawyer to get revenge for his younger sister, but has since become focused on money. He changes when he deals with a series of cases involving missing actresses.

—AsianWiki"
Juvenile Justice,7.9,"2,781","A prickly judge who despises juvenile criminals arrives at a juvenile court, where she takes on a complex role examining punishment for young offenders."
Kairos,8,610,"A fantasy thriller about a man who is in shock of losing his daughter and a woman who lives in the past, both struggling to save the ones they love."
The Stars Are Shining,9.1,8,"After the death of her father, Jo Bong-hee attempts to ease her impoverished family's burden by relocating to a nearby city. She perseveres through adversity and eventually becomes a renowned fashion designer."
Kill It,7.6,866,"Will a killer-turned-veterinarian and a detective find a common ground? Kim Soo Hyun is a veterinarian who was once a professional killer. Nobody in the public knows anything about him as a killer, including his age, name and race. Deep inside, he constantly looks for love, but struggles to develop and maintain any pure relationships around him. Do Hyun Jin is a brilliant detective working in Seoul, who graduated from police academy as the most excelled. Although she looks cold and stern on the outside, she is in fact a very sympathetic individual. Hyun Jin trusts her instincts and isn't afraid to rely on the things around her to make a decision to the best of her abilities. She has suffered trauma but still keeps pushing forward."
"Kill Me, Heal Me",8.3,"5,011",A love story between the son from a wealthy family who has 7 personalities Cha Do Hyun (Ji Sung) and Oh Ri Jin (Hwang Jung Eum) who becomes his secret psychiatrist.
Kingdom,8.3,"45,282","While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land."
Kingmaker: The Change of Destiny,7.6,69,About the beautiful challenge of a man who has a set of outstanding skills and looks back on the reality of today.
Kiss Sixth Sense,7.4,280,Ye Sol can see the future when she kisses someone. One day she accidentally kissed her boss Cha Min Hoo on the neck and saw that in the future they were lying in the same bed.
Kkondae Intern,7.3,178,Kkondae Intern is an office comedy that depicts a man's delightful revenge on his previous boss who is also the worst manager.
Korean Peninsula,7.1,32,"Seo Myung-joon is a South Korean scientist who falls in love with North Korean scientist Im Jin-jae while developing an alternative energy source together. But when Myung-joon unexpectedly becomes the president of a reunified Korea, political tensions rise as a massive struggle for limited natural resources continues to divide the country."
L.U.C.A.: The Beginning,6.5,436,"""LUCA"" (Last Universal Common Ancestor) is based on Charles Darwin's proposition that all species of life have descended over time from common ancestors."
Last,7.5,199,"Jang Taeho, a finance genius, fails in a financial scheme, leaving him with nothing. Pursued by those who lost millions in the failed scheme, Taeho is forced to hide in the underworld. At the bottom of life's pyramid, he will learn about the beggars' mafia-like world and their hierarchy, which Taeho decides to climb to take back his life.

—benjamin perez"
Late Night Restaurant,7.8,90,"In a small restaurant, which is only open after midnight, a chef known as 'Master' (Kim Seung Woo) doesn't offer any menus, but is willing to whip up any dish his patrons desire. Every night, the mysterious Master dedicates himself to comforting the woes of his customers, including a gangster, a down-and-out actor, office ladies, a paper boy, and a night worker. Despite the restaurant's unconventional hours and rules, these denizens of the night still keep coming back for more."
Law School,8,"2,227","When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students."
